project,tissue,is_human,annotations
human_tissue_atlas,Peripheral-Blood,True,human/HTA/Peripheral-Blood/annotations_pg.csv
human_tissue_atlas,Pleura,True,human/HTA/Pleura/annotations_pg.csv
human_tissue_atlas,Prostate,True,human/HTA/Prostate/annotations_pg.csv
human_tissue_atlas,Rectum,True,human/HTA/Rectum/annotations_pg.csv
human_tissue_atlas,Sigmoid-Colon,True,human/HTA/Sigmoid-Colon/annotations_pg.csv
human_tissue_atlas,Spleen,True,human/HTA/Spleen/annotations_pg.csv
human_tissue_atlas,Stomach,True,human/HTA/Stomach/annotations_pg.csv
human_tissue_atlas,Temporal-Lobe,True,human/HTA/Temporal-Lobe/annotations_pg.csv
human_tissue_atlas,Thyroid,True,human/HTA/Thyroid/annotations_pg.csv
human_tissue_atlas,Trachea,True,human/HTA/Trachea/annotations_pg.csv
human_tissue_atlas,Transverse-Colon,True,human/HTA/Transverse-Colon/annotations_pg.csv
human_tissue_atlas,Ureter,True,human/HTA/Ureter/annotations_pg.csv
human_tissue_atlas,Uterus,True,human/HTA/Uterus/annotations_pg.csv
human_other,colon-epi,True,human/other/colon-epi/annotations_pg.csv
human_other,colon-fib,True,human/other/colon-fib/annotations_pg.csv
human_other,colon-imm,True,human/other/colon-imm/annotations_pg.csv
human_other,retina,True,human/other/retina/annotations_pg.csv
PanglaoDB,Lung_Epithelial,True,Unknown
PanglaoDB,Mammary_Gland,True,Unknown
PanglaoDB,Pancreatic_Islets,True,Unknown
PanglaoDB,Prostate,True,Unknown
PanglaoDB,Testis,True,Unknown
PanglaoDB,Bone_Marrow,True,Unknown
PanglaoDB,Liver,True,Unknown
PanglaoDB,Substantia_Nigra,True,Unknown
human_other,Brain,True,Unknown
human_other,Blood,True,Unknown
human_other,Olfactory_Epithelium,True,Unknown
human_other,Heart_Circulation,True,human/other/heart/annotations_pg.csv
human_other,krasnow_lung,True,Unknown
